"","x"
"1",0.545658836475337
"2",-1.67035367685958
"3",0.608700762248726
"4",1.47717314771381
"5",0.557421299883191
"6",0.314679526973448
"7",-0.273950265425415
"8",0.360892413732938
"9",-1.77393811286998
"10",1.11447474595308
"11",-1.06262585256811
"12",0.427917391586602
"13",-0.881497056405076
"14",-1.55221279665804
"15",0.213235038215748
"16",0.98967609254715
"17",1.5506105922307
"18",0.264769491241973
"19",0.277528604863113
"20",0.466778548295654
"21",-1.01395360255598
"22",0.76731582647531
"23",-0.227040587063533
"24",-0.183581478076786
"25",-0.935041636090509
"26",0.67549245944373
"27",1.43426295611403
"28",-1.64604160238162
"29",0.454753556534143
"30",-0.729503857505852
"31",-0.166758100273063
"32",-0.84529307145766
"33",0.722232145796828
"34",-2.56016318810758
"35",-0.755314107217739
"36",1.39401840063403
"37",1.26705747135716
"38",1.68875414784772
"39",0.0461615224009416
"40",-0.526892033829947
"41",1.11398753606693
"42",-0.349635025121911
"43",0.51581208574035
"44",-0.912594406322528
"45",-0.230651153886015
"46",0.173363758671205
"47",0.0500349170481064
"48",-0.185015424173289
"49",0.154322896852327
"50",0.959119951207063
"51",1.13757850711017
"52",0.785121998146698
"53",-0.906213507661403
"54",0.109698496923023
"55",-0.715768829721293
"56",-1.72661698503654
"57",0.745006584332123
"58",1.08867996008279
"59",-1.64983636763034
"60",-0.249882310996298
"61",-0.627869309370128
"62",0.313743365795387
"63",0.556283243673655
"64",1.3064870899538
"65",0.365935242837183
"66",0.636141044069213
"67",-0.492284585447435
"68",-0.868637183858418
"69",1.15624960936336
"70",-1.3728605119257
"71",-0.27029890698338
"72",-1.60709029421715
"73",-0.547727206282453
"74",1.6970941655614
"75",2.73404484937213
"76",0.343262382520475
"77",0.208366530151683
"78",0.514602987799853
"79",-1.12380287069398
"80",1.7079512108603
"81",0.0843993021538215
"82",-0.103902099720885
"83",1.03713200991211
"84",0.812658917975765
"85",0.905887379141089
"86",0.23800861477275
"87",-0.471007733277345
"88",0.351134919077343
"89",-0.615584768292075
"90",1.26296065544072
"91",0.118419483437497
"92",1.4477793593062
"93",0.786146012983194
"94",0.248421355593181
"95",2.00292958504031
"96",-0.280243148424663
"97",-0.668448558764013
"98",-2.25014263243948
"99",-0.0857983331463846
"100",0.367331579856814
